,city,cloud,country,date,humidity,lat,lon,temp_max,wind speed
85,Umm Lajj,15,SA,1559418868,54,25.02,37.27,90.23,6.55
86,Thompson,90,CA,1559418617,56,55.74,-97.86,44.6,11.41
87,Ko Samui,87,TH,1559418868,78,9.54,99.94,83.03,7.67
88,Myaundzha,99,RU,1559418869,82,63.05,147.18,48.11,4.14
89,Tuktoyaktuk,20,CA,1559418803,69,69.44,-133.03,48.2,14.99
90,Yulara,0,AU,1559418869,75,-25.24,130.99,44.6,5.82
91,Svetlogorsk,40,RU,1559418647,63,53.14,59.15,64.4,6.71
92,Neiafu,40,TO,1559418869,100,-18.65,-173.98,66.2,5.32
93,Bolobo,6,CD,1559418870,80,-2.17,16.23,75.83,5.28
94,Nuzvid,100,IN,1559418870,60,16.79,80.85,92.57,7.4
95,Tiksi,67,RU,1559418624,96,71.64,128.87,32.81,7.7
96,Chokurdakh,100,RU,1559418814,87,70.62,147.9,32.45,11.99
97,Sarangani,100,PH,1559418870,73,5.4,125.46,84.83,11.83
98,Vila Velha,0,BR,1559418843,70,-3.71,-38.6,86.0,13.87
99,Dingle,78,PH,1559418871,86,11.0,122.67,78.17,6.78
100,Goderich,98,CA,1559418871,95,43.74,-81.71,68.0,4.0
101,Cape Town,90,ZA,1559418782,100,-33.93,18.42,59.0,5.82
102,Vao,95,EE,1559418871,67,59.1,26.19,54.41,10.89
103,Hovd,75,NO,1559418871,71,63.83,10.7,50.0,17.22
104,Parana,75,BR,1559418871,70,-7.52,-72.89,87.8,5.82
105,Kungurtug,78,RU,1559418872,66,50.6,97.53,36.77,4.81
106,Torbay,90,CA,1559418699,86,47.66,-52.73,48.0,5.82
107,Arlit,67,NE,1559418872,32,18.74,7.39,92.93,22.93
108,Sinnamary,100,GF,1559418872,81,5.38,-52.96,81.41,11.72
109,Mareeba,90,AU,1559418872,73,-16.99,145.42,69.8,16.11
110,Sao Jose da Coroa Grande,63,BR,1559418873,91,-8.9,-35.15,74.93,4.09
111,Victoria,75,BN,1559418873,88,5.28,115.24,82.4,2.24
112,Vaini,29,IN,1559418582,80,15.34,74.49,79.79,1.25
113,Cody,1,US,1559418874,30,44.53,-109.06,73.99,6.93
114,Barranca,100,PE,1559418776,91,-10.75,-77.76,62.33,17.49
115,Narsaq,20,GL,1559418874,46,60.91,-46.05,50.0,8.05
116,Storforshei,75,NO,1559418874,70,66.4,14.52,44.6,5.82
117,Nanortalik,3,GL,1559418800,83,60.14,-45.24,36.41,6.26
118,Esperance,20,TT,1559418598,58,10.24,-61.45,88.0,10.29
119,Evensk,81,RU,1559418614,59,61.92,159.24,53.15,5.77
120,Minot,1,US,1559418875,23,48.23,-101.3,73.4,11.41
121,Severo-Kurilsk,100,RU,1559418830,92,50.68,156.12,40.73,13.18
122,Kruisfontein,100,ZA,1559418875,90,-34.0,24.73,55.67,2.89
123,Karachi,20,PK,1559418671,79,24.87,67.03,86.0,9.17
124,Fortuna,0,ES,1559418875,46,38.18,-1.13,72.0,5.82
